Claim_ID,Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type
1,595435,595435,10000,2025-11-14,1
2,558879,558879,10000,2025-12-28,1
3,649098,649098,10000,2025-06-28,1
4,742926,742926,10000,2025-11-07,1
5,85885,85885,10000,2025-08-28,1
6,725547,725547,10000,2025-05-14,1
7,49559,49559,10000,2025-05-28,1
8,360608,360608,10000,2025-04-07,1
9,599331,599331,10000,2025-07-07,1
10,488990,488990,10000,2025-01-13,1
11,319972,319972,10000,2025-03-28,1
12,133855,133855,10000,2025-09-21,1
13,262236,262236,10000,2025-06-28,1
14,442643,442643,10000,2025-05-28,1
15,373845,373845,10000,2025-06-07,1
16,150027,150027,10000,2025-11-28,1
17,38071,38071,10000,2025-01-06,1
18,418985,418985,10000,2025-10-07,1
19,364336,364336,10000,2025-06-14,1
20,612965,612965,10000,2025-10-07,1
21,430338,430338,10000,2025-10-14,1
22,994351,994351,10000,2025-10-21,1
23,474448,474448,10000,2025-04-21,1
24,140093,140093,10000,2025-10-07,1
25,247962,247962,10000,2025-06-28,1
26,15805,15805,10000,2025-03-07,1
27,805190,805190,10000,2025-12-21,1
28,770284,770284,10000,2025-08-07,1
29,195732,195732,10000,2025-10-14,1
30,42157,42157,10000,2025-03-07,1
31,573512,573512,10000,2025-12-21,1
32,264784,264784,10000,2025-06-14,1
33,815120,815120,10000,2025-02-06,1
34,16772,16772,10000,2025-10-28,1
35,987261,987261,10000,2025-06-07,1
36,735870,735870,10000,2025-07-28,1
37,989343,989343,10000,2025-02-13,1
38,130211,130211,10000,2025-10-07,1
39,90246,90246,10000,2025-07-28,1
40,153399,153399,10000,2025-02-13,1
41,836714,836714,10000,2025-02-06,1
42,730428,730428,10000,2025-09-14,1
43,205065,205065,10000,2025-04-14,1
44,266949,266949,10000,2025-05-14,1
45,609509,609509,10000,2025-04-28,1
46,843627,843627,10000,2025-12-28,1
47,353783,353783,10000,2025-08-14,1
48,814303,814303,10000,2025-11-14,1
49,408768,408768,10000,2025-11-07,1
50,447944,447944,10000,2025-11-21,1
51,263527,263527,10000,2025-01-06,1
52,502020,502020,10000,2025-08-21,1
53,194481,194481,10000,2025-05-14,1
